8.382324,	 3.924013,	 1.260044,	 -1.005590,	 1.666706,	 0.731685,
8.226947,	 4.171836,	 1.369091,	 -1.066090,	 1.637218,	 0.722109,
8.062557,	 4.415091,	 1.476638,	 -1.125718,	 1.605787,	 0.711693,
7.889294,	 4.653486,	 1.582560,	 -1.184394,	 1.572431,	 0.700440,
7.707307,	 4.886736,	 1.686732,	 -1.242038,	 1.537172,	 0.688358,
7.516753,	 5.114557,	 1.789030,	 -1.298570,	 1.500035,	 0.675452,
7.317811,	 5.336668,	 1.889331,	 -1.353911,	 1.461048,	 0.661730,
7.110661,	 5.552794,	 1.987514,	 -1.407981,	 1.420243,	 0.647203,
6.895499,	 5.762663,	 2.083457,	 -1.460701,	 1.377653,	 0.631880,
6.672537,	 5.966012,	 2.177044,	 -1.511992,	 1.333316,	 0.615775,
6.441994,	 6.162585,	 2.268156,	 -1.561779,	 1.287275,	 0.598901,
6.204098,	 6.352126,	 2.356682,	 -1.609984,	 1.239573,	 0.581272,
5.959094,	 6.534392,	 2.442507,	 -1.656532,	 1.190259,	 0.562907,
5.707237,	 6.709141,	 2.525524,	 -1.701351,	 1.139383,	 0.543822,
5.448792,	 6.876145,	 2.605625,	 -1.744369,	 1.087001,	 0.524037,
5.184031,	 7.035183,	 2.682707,	 -1.785516,	 1.033169,	 0.503574,
4.913244,	 7.186043,	 2.756669,	 -1.824724,	 0.977950,	 0.482453,
4.636725,	 7.328521,	 2.827417,	 -1.861929,	 0.921407,	 0.460700,
4.354779,	 7.462420,	 2.894856,	 -1.897069,	 0.863606,	 0.438338,
4.067719,	 7.587560,	 2.958896,	 -1.930082,	 0.804619,	 0.415395,
3.775871,	 7.703767,	 3.019454,	 -1.960913,	 0.744517,	 0.391898,
3.479566,	 7.810879,	 3.076447,	 -1.989508,	 0.683377,	 0.367875,
3.179142,	 7.908749,	 3.129799,	 -2.015815,	 0.621276,	 0.343357,
2.874945,	 7.997236,	 3.179438,	 -2.039789,	 0.558294,	 0.318375,
2.567329,	 8.076220,	 3.225296,	 -2.061387,	 0.494515,	 0.292961,
2.256655,	 8.145576,	 3.267314,	 -2.080567,	 0.430022,	 0.267149,
1.943287,	 8.205212,	 3.305431,	 -2.097296,	 0.364903,	 0.240972,
1.627595,	 8.255039,	 3.339597,	 -2.111542,	 0.299246,	 0.214466,
1.309954,	 8.294987,	 3.369765,	 -2.123278,	 0.233140,	 0.187667,
0.990742,	 8.324988,	 3.395893,	 -2.132481,	 0.166676,	 0.160611,
0.670340,	 8.344998,	 3.417945,	 -2.139133,	 0.099946,	 0.133335,
0.349131,	 8.354984,	 3.435892,	 -2.143219,	 0.033044,	 0.105878,
0.027503,	 8.354927,	 3.449710,	 -2.144732,	 -0.033938,	 0.078277,
-0.294159,	 8.344824,	 3.459378,	 -2.143665,	 -0.100906,	 0.050571,
-0.615468,	 8.324681,	 3.464886,	 -2.140019,	 -0.167766,	 0.022798,
-0.936037,	 8.294524,	 3.466225,	 -2.133799,	 -0.234424,	 -0.005002,
-1.255482,	 8.254393,	 3.463394,	 -2.125013,	 -0.300788,	 -0.032790,
-1.573417,	 8.204331,	 3.456398,	 -2.113676,	 -0.366763,	 -0.060528,
-1.889462,	 8.144408,	 3.445248,	 -2.099806,	 -0.432259,	 -0.088177,
-2.203238,	 8.074705,	 3.429960,	 -2.083426,	 -0.497183,	 -0.115699,
-2.514371,	 7.995309,	 3.410555,	 -2.064563,	 -0.561448,	 -0.143054,
-2.822490,	 7.906327,	 3.387062,	 -2.043249,	 -0.624964,	 -0.170206,
-3.127232,	 7.807880,	 3.359514,	 -2.019519,	 -0.687646,	 -0.197117,
-3.428236,	 7.700099,	 3.327949,	 -1.993414,	 -0.749409,	 -0.223750,
-3.725148,	 7.583128,	 3.292412,	 -1.964978,	 -0.810170,	 -0.250071,
-4.017623,	 7.457121,	 3.252953,	 -1.934258,	 -0.869850,	 -0.276042,
-4.305323,	 7.322248,	 3.209627,	 -1.901305,	 -0.928370,	 -0.301632,
