9.609850,	 45.837265,	 18.520922,	 -0.886846,	 0.206731,	 0.106709,
5.932993,	 46.593575,	 18.922083,	 -0.897166,	 0.148266,	 0.083037,
2.221471,	 47.108837,	 19.225451,	 -0.902716,	 0.089946,	 0.059306,
-1.505229,	 47.384247,	 19.431026,	 -0.903617,	 0.032126,	 0.035664,
-5.228176,	 47.422409,	 19.539410,	 -0.900024,	 -0.024863,	 0.012250,
-8.929118,	 47.227264,	 19.551760,	 -0.892116,	 -0.080719,	 -0.010808,
-12.590589,	 46.803955,	 19.469742,	 -0.880098,	 -0.135164,	 -0.033391,
-16.195990,	 46.158718,	 19.295492,	 -0.864191,	 -0.187951,	 -0.055392,
-19.729666,	 45.298763,	 19.031578,	 -0.844630,	 -0.238861,	 -0.076716,
-23.176949,	 44.232162,	 18.680929,	 -0.821661,	 -0.287704,	 -0.097279,
-26.524193,	 42.967716,	 18.246817,	 -0.795535,	 -0.334315,	 -0.117007,
-29.758795,	 41.514866,	 17.732786,	 -0.766507,	 -0.378557,	 -0.135837,
-32.869202,	 39.883579,	 17.142632,	 -0.734830,	 -0.420317,	 -0.153719,
-35.844902,	 38.084248,	 16.480343,	 -0.700756,	 -0.459507,	 -0.170607,
-38.676422,	 36.127594,	 15.750074,	 -0.664532,	 -0.496056,	 -0.186469,
-41.355282,	 34.024593,	 14.956104,	 -0.626397,	 -0.529918,	 -0.201278,
-43.874001,	 31.786396,	 14.102810,	 -0.586585,	 -0.561059,	 -0.215015,
-46.226017,	 29.424255,	 13.194633,	 -0.545319,	 -0.589465,	 -0.227670,
-48.405693,	 26.949457,	 12.236054,	 -0.502812,	 -0.615133,	 -0.239234,
-50.408260,	 24.373285,	 11.231571,	 -0.459270,	 -0.638073,	 -0.249708,
-52.229763,	 21.706959,	 10.185678,	 -0.414885,	 -0.658307,	 -0.259096,
-53.867031,	 18.961594,	 9.102846,	 -0.369841,	 -0.675865,	 -0.267404,
-55.317631,	 16.148170,	 7.987507,	 -0.324311,	 -0.690784,	 -0.274645,
-56.579830,	 13.277502,	 6.844043,	 -0.278457,	 -0.703109,	 -0.280832,
