-0.420927,	 -0.547500,	 -0.219684,	 5.952723,	 -3.811344,	 -2.091453,
-0.401659,	 -0.559405,	 -0.226259,	 6.089206,	 -3.627700,	 -2.017468,
-0.381964,	 -0.570715,	 -0.232594,	 6.219129,	 -3.440342,	 -1.941397,
-0.361864,	 -0.581420,	 -0.238682,	 6.342366,	 -3.249472,	 -1.863323,
-0.341381,	 -0.591509,	 -0.244518,	 6.458796,	 -3.055296,	 -1.783331,
-0.320536,	 -0.600972,	 -0.250094,	 6.568307,	 -2.858022,	 -1.701507,
-0.299352,	 -0.609799,	 -0.255406,	 6.670795,	 -2.657860,	 -1.617940,
-0.277851,	 -0.617981,	 -0.260448,	 6.766161,	 -2.455024,	 -1.532718,
-0.256057,	 -0.625510,	 -0.265214,	 6.854315,	 -2.249729,	 -1.445934,
-0.233992,	 -0.632378,	 -0.269701,	 6.935176,	 -2.042192,	 -1.357680,
-0.211680,	 -0.638579,	 -0.273903,	 7.008669,	 -1.832632,	 -1.268049,
-0.189145,	 -0.644106,	 -0.277816,	 7.074726,	 -1.621269,	 -1.177136,
-0.166410,	 -0.648954,	 -0.281436,	 7.133287,	 -1.408326,	 -1.085038,
-0.143500,	 -0.653119,	 -0.284759,	 7.184302,	 -1.194024,	 -0.991852,
-0.120439,	 -0.656596,	 -0.287783,	 7.227726,	 -0.978587,	 -0.897674,
-0.097251,	 -0.659382,	 -0.290504,	 7.263522,	 -0.762241,	 -0.802604,
-0.073961,	 -0.661475,	 -0.292920,	 7.291663,	 -0.545208,	 -0.706741,
-0.050593,	 -0.662872,	 -0.295027,	 7.312126,	 -0.327714,	 -0.610185,
-0.027171,	 -0.663574,	 -0.296825,	 7.324898,	 -0.109984,	 -0.513036,
-0.003722,	 -0.663578,	 -0.298310,	 7.329975,	 0.107757,	 -0.415395,
0.019732,	 -0.662885,	 -0.299483,	 7.327357,	 0.325286,	 -0.317362,
0.043165,	 -0.661498,	 -0.300342,	 7.317055,	 0.542379,	 -0.219039,
0.066553,	 -0.659417,	 -0.300885,	 7.299085,	 0.758814,	 -0.120527,
0.089871,	 -0.656644,	 -0.301114,	 7.273473,	 0.974367,	 -0.021928,
0.113096,	 -0.653183,	 -0.301027,	 7.240250,	 1.188820,	 0.076658,
0.136201,	 -0.649038,	 -0.300624,	 7.199456,	 1.401953,	 0.175128,
0.159164,	 -0.644214,	 -0.299907,	 7.151138,	 1.613548,	 0.273384,
0.181961,	 -0.638715,	 -0.298875,	 7.095350,	 1.823391,	 0.371323,
0.204567,	 -0.632547,	 -0.297531,	 7.032153,	 2.031266,	 0.468846,
0.226959,	 -0.625718,	 -0.295876,	 6.961617,	 2.236963,	 0.565854,
0.249114,	 -0.618234,	 -0.293911,	 6.883817,	 2.440273,	 0.662247,
