1.328760,	 0.510531,	 0.198262,	 -1.698298,	 4.674761,	 2.190078,
1.319649,	 0.534998,	 0.209730,	 -1.790654,	 4.638497,	 2.175941,
1.310056,	 0.559271,	 0.221123,	 -1.881952,	 4.600703,	 2.161073,
1.299986,	 0.583343,	 0.232436,	 -1.972161,	 4.561409,	 2.145487,
1.289445,	 0.607205,	 0.243666,	 -2.061250,	 4.520646,	 2.129198,
1.278438,	 0.630851,	 0.254809,	 -2.149191,	 4.478446,	 2.112218,
1.266972,	 0.654272,	 0.265861,	 -2.235954,	 4.434841,	 2.094562,
1.255053,	 0.677461,	 0.276819,	 -2.321514,	 4.389863,	 2.076243,
1.242687,	 0.700411,	 0.287680,	 -2.405845,	 4.343543,	 2.057277,
1.229882,	 0.723115,	 0.298440,	 -2.488922,	 4.295916,	 2.037676,
1.216642,	 0.745566,	 0.309096,	 -2.570722,	 4.247014,	 2.017457,
1.202977,	 0.767758,	 0.319644,	 -2.651224,	 4.196871,	 1.996632,
1.188891,	 0.789684,	 0.330081,	 -2.730406,	 4.145518,	 1.975218,
1.174392,	 0.811339,	 0.340405,	 -2.808249,	 4.092991,	 1.953229,
1.159488,	 0.832715,	 0.350613,	 -2.884734,	 4.039323,	 1.930679,
1.144184,	 0.853806,	 0.360700,	 -2.959843,	 3.984546,	 1.907584,
1.128490,	 0.874608,	 0.370666,	 -3.033561,	 3.928695,	 1.883959,
1.112411,	 0.895115,	 0.380506,	 -3.105871,	 3.871804,	 1.859818,
1.095956,	 0.915321,	 0.390219,	 -3.176761,	 3.813905,	 1.835177,
1.079132,	 0.935221,	 0.399801,	 -3.246216,	 3.755032,	 1.810051,
1.061945,	 0.954809,	 0.409250,	 -3.314225,	 3.695219,	 1.784454,
1.044405,	 0.974082,	 0.418564,	 -3.380777,	 3.634498,	 1.758401,
1.026519,	 0.993034,	 0.427740,	 -3.445861,	 3.572903,	 1.731908,
1.008294,	 1.011661,	 0.436776,	 -3.509468,	 3.510466,	 1.704988,
0.989738,	 1.029958,	 0.445670,	 -3.571591,	 3.447221,	 1.677658,
0.970859,	 1.047922,	 0.454420,	 -3.632222,	 3.383198,	 1.649931,
0.951665,	 1.065548,	 0.463023,	 -3.691355,	 3.318431,	 1.621822,
0.932164,	 1.082833,	 0.471478,	 -3.748983,	 3.252952,	 1.593345,
0.912364,	 1.099772,	 0.479783,	 -3.805104,	 3.186791,	 1.564516,
0.892271,	 1.116363,	 0.487935,	 -3.859713,	 3.119981,	 1.535347,
0.871896,	 1.132601,	 0.495934,	 -3.912806,	 3.052552,	 1.505854,
0.851245,	 1.148485,	 0.503777,	 -3.964383,	 2.984534,	 1.476050,
0.830326,	 1.164010,	 0.511463,	 -4.014441,	 2.915959,	 1.445949,
0.809148,	 1.179173,	 0.518991,	 -4.062980,	 2.846855,	 1.415564,
0.787717,	 1.193973,	 0.526358,	 -4.110000,	 2.777253,	 1.384910,
0.766044,	 1.208407,	 0.533564,	 -4.155501,	 2.707181,	 1.353999,
0.744134,	 1.222472,	 0.540607,	 -4.199486,	 2.636668,	 1.322846,
0.721997,	 1.236165,	 0.547486,	 -4.241956,	 2.565743,	 1.291462,
0.699640,	 1.249486,	 0.554200,	 -4.282913,	 2.494433,	 1.259861,
0.677072,	 1.262431,	 0.560748,	 -4.322362,	 2.422766,	 1.228055,
0.654299,	 1.275000,	 0.567128,	 -4.360306,	 2.350769,	 1.196057,
0.631330,	 1.287190,	 0.573340,	 -4.396749,	 2.278469,	 1.163880,
0.608173,	 1.298999,	 0.579382,	 -4.431696,	 2.205892,	 1.131535,
0.584836,	 1.310428,	 0.585255,	 -4.465153,	 2.133063,	 1.099034,
0.561326,	 1.321473,	 0.590956,	 -4.497126,	 2.060008,	 1.066390,
0.537651,	 1.332134,	 0.596486,	 -4.527620,	 1.986752,	 1.033613,
0.513820,	 1.342410,	 0.601843,	 -4.556644,	 1.913319,	 1.000716,
0.489839,	 1.352301,	 0.607028,	 -4.584203,	 1.839733,	 0.967709,
0.465717,	 1.361805,	 0.612039,	 -4.610306,	 1.766018,	 0.934603,
0.441460,	 1.370921,	 0.616876,	 -4.634960,	 1.692197,	 0.901410,
0.417077,	 1.379650,	 0.621538,	 -4.658174,	 1.618293,	 0.868139,
0.392575,	 1.387991,	 0.626026,	 -4.679957,	 1.544326,	 0.834801,
0.367962,	 1.395943,	 0.630339,	 -4.700318,	 1.470321,	 0.801407,
0.343245,	 1.403507,	 0.634476,	 -4.719266,	 1.396297,	 0.767966,
0.318432,	 1.410682,	 0.638437,	 -4.736810,	 1.322276,	 0.734489,
0.293529,	 1.417468,	 0.642223,	 -4.752960,	 1.248277,	 0.700984,
0.268544,	 1.423867,	 0.645833,	 -4.767727,	 1.174322,	 0.667462,
0.243485,	 1.429877,	 0.649267,	 -4.781121,	 1.100430,	 0.633931,
0.218358,	 1.435499,	 0.652524,	 -4.793153,	 1.026619,	 0.600401,
0.193171,	 1.440734,	 0.655606,	 -4.803833,	 0.952909,	 0.566881,
0.167931,	 1.445582,	 0.658512,	 -4.813172,	 0.879318,	 0.533379,
0.142644,	 1.450044,	 0.661242,	 -4.821182,	 0.805863,	 0.499904,
0.117319,	 1.454121,	 0.663796,	 -4.827874,	 0.732563,	 0.466464,
0.091960,	 1.457813,	 0.666175,	 -4.833259,	 0.659434,	 0.433067,
0.066577,	 1.461122,	 0.668378,	 -4.837348,	 0.586493,	 0.399722,
0.041174,	 1.464048,	 0.670407,	 -4.840155,	 0.513757,	 0.366435,
0.015760,	 1.466593,	 0.672261,	 -4.841691,	 0.441241,	 0.333216,
