0.848933,	 0.580849,	 0.251821,	 -3.670742,	 4.466050,	 1.936211,
0.830299,	 0.602985,	 0.261418,	 -3.810620,	 4.368024,	 1.893713,
0.810971,	 0.624623,	 0.270799,	 -3.947384,	 4.266330,	 1.849624,
0.790965,	 0.645746,	 0.279956,	 -4.080920,	 4.161048,	 1.803981,
0.770299,	 0.666335,	 0.288882,	 -4.211115,	 4.052265,	 1.756819,
0.748989,	 0.686373,	 0.297570,	 -4.337859,	 3.940066,	 1.708176,
0.727052,	 0.705844,	 0.306011,	 -4.461044,	 3.824545,	 1.658093,
0.704506,	 0.724730,	 0.314199,	 -4.580567,	 3.705793,	 1.606610,
0.681370,	 0.743017,	 0.322127,	 -4.696325,	 3.583909,	 1.553768,
0.657663,	 0.760687,	 0.329788,	 -4.808220,	 3.458991,	 1.499611,
0.633404,	 0.777728,	 0.337176,	 -4.916156,	 3.331142,	 1.444183,
0.608614,	 0.794123,	 0.344284,	 -5.020040,	 3.200466,	 1.387530,
0.583313,	 0.809860,	 0.351106,	 -5.119783,	 3.067071,	 1.329698,
0.557521,	 0.824924,	 0.357637,	 -5.215298,	 2.931068,	 1.270736,
0.531261,	 0.839304,	 0.363871,	 -5.306503,	 2.792568,	 1.210690,
0.504553,	 0.852986,	 0.369803,	 -5.393318,	 2.651686,	 1.149613,
0.477420,	 0.865959,	 0.375427,	 -5.475669,	 2.508541,	 1.087553,
0.449884,	 0.878212,	 0.380739,	 -5.553482,	 2.363250,	 1.024564,
0.421968,	 0.889734,	 0.385735,	 -5.626690,	 2.215935,	 0.960697,
0.393696,	 0.900516,	 0.390409,	 -5.695228,	 2.066720,	 0.896007,
0.365090,	 0.910548,	 0.394759,	 -5.759036,	 1.915730,	 0.830547,
0.336175,	 0.919822,	 0.398779,	 -5.818058,	 1.763092,	 0.764372,
0.306974,	 0.928330,	 0.402468,	 -5.872241,	 1.608934,	 0.697539,
0.277513,	 0.936064,	 0.405821,	 -5.921538,	 1.453388,	 0.630103,
0.247814,	 0.943018,	 0.408836,	 -5.965903,	 1.296583,	 0.562122,
0.217904,	 0.949185,	 0.411509,	 -6.005298,	 1.138655,	 0.493654,
0.187807,	 0.954561,	 0.413840,	 -6.039688,	 0.979736,	 0.424756,
0.157547,	 0.959141,	 0.415825,	 -6.069040,	 0.819962,	 0.355488,
0.127152,	 0.962920,	 0.417464,	 -6.093330,	 0.659469,	 0.285908,
0.096644,	 0.965895,	 0.418754,	 -6.112535,	 0.498394,	 0.216076,
0.066052,	 0.968064,	 0.419694,	 -6.126637,	 0.336876,	 0.146051,
0.035398,	 0.969425,	 0.420284,	 -6.135624,	 0.175052,	 0.075894,
0.004710,	 0.969976,	 0.420523,	 -6.139487,	 0.013060,	 0.005664,
-0.025987,	 0.969718,	 0.420411,	 -6.138222,	 -0.148959,	 -0.064577,
-0.056667,	 0.968649,	 0.419948,	 -6.131832,	 -0.310866,	 -0.134771,
-0.087305,	 0.966771,	 0.419134,	 -6.120321,	 -0.472524,	 -0.204856,
-0.117875,	 0.964086,	 0.417969,	 -6.103699,	 -0.633791,	 -0.274772,
-0.148353,	 0.960595,	 0.416456,	 -6.081982,	 -0.794531,	 -0.344459,
-0.178711,	 0.956302,	 0.414595,	 -6.055189,	 -0.954604,	 -0.413857,
-0.208925,	 0.951210,	 0.412387,	 -6.023345,	 -1.113872,	 -0.482906,
-0.238970,	 0.945324,	 0.409835,	 -5.986479,	 -1.272199,	 -0.551547,
-0.268821,	 0.938648,	 0.406941,	 -5.944623,	 -1.429448,	 -0.619720,
-0.298452,	 0.931188,	 0.403707,	 -5.897817,	 -1.585484,	 -0.687368,
-0.327840,	 0.922951,	 0.400136,	 -5.846102,	 -1.740173,	 -0.754432,
-0.356959,	 0.913943,	 0.396230,	 -5.789527,	 -1.893381,	 -0.820854,
